,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구 ,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구,기타,Update Time
Total,"251,810","225,076","133,630","279,246","244,431","172,239","198,727","112,689","250,467","148,114","166,057","194,643","182,259","149,688","195,385","141,737","209,839","321,867","214,009","200,021","102,482","221,968","65,975","59,649","181,122","304,207",(2022.10.21.00시 기준)
Today,+265,+199,+129,+340,+251,+165,+225,+107,+238,+142,+176,+214,+192,+178,+199,+139,+177,+306,+219,+171,+103,+247,+67,+60,+181,+371,
